10:15:32, 1832, -700, 8904, 788, 1796, -719 
10:15:32, 1772, -704, 8800, 930, 1819, -578 
10:15:32, 1492, -644, 8888, 1035, 1721, -434 
10:15:32, 1368, -784, 8940, 1050, 1601, -390 
10:15:32, 1452, -992, 8864, 1222, 1693, -406 
10:15:32, 1556, -948, 8800, 1278, 1795, -484 
10:15:32, 1348, -1020, 8528, 1275, 1712, -473 
10:15:32, 1256, -828, 8488, 1336, 1695, -360 
10:15:32, 1024, -292, 8364, 1455, 1671, -264 
10:15:32, 940, 56, 8376, 1577, 1718, -221 
10:15:32, 888, 104, 8312, 1630, 1650, -269 
10:15:32, 1104, -40, 8264, 1622, 1615, -386 
10:15:32, 1108, -216, 8080, 1556, 1376, -550 
10:15:32, 1160, -404, 7952, 1442, 1210, -813 
10:15:32, 1032, -448, 7692, 1330, 1092, -1146 
10:15:32, 860, -432, 7604, 1151, 975, -1435 
10:15:32, 608, -300, 7516, 986, 883, -1596 
10:15:32, 484, -100, 7688, 843, 803, -1521 
10:15:32, 288, 32, 7668, 710, 772, -1356 
10:15:32, 268, 4, 7568, 646, 723, -1140 
10:15:32, 416, -100, 7516, 496, 684, -874 
10:15:32, 632, -244, 7416, 418, 555, -601 
10:15:32, 832, -336, 7268, 281, 442, -476 
10:15:32, 856, -168, 7160, 212, 260, -507 
10:15:32, 804, 20, 7120, 140, 137, -622 
10:15:32, 556, 188, 6976, 7, 78, -550 
10:15:32, 568, 180, 6804, -109, 62, -358 
10:15:32, 408, 40, 6592, -225, 67, -241 
10:15:32, 308, -144, 6476, -363, 137, -90 
10:15:32, 188, -384, 6400, -453, 197, -35 
10:15:32, 148, -460, 6276, -517, 305, -67 
10:15:32, -12, -364, 6180, -516, 362, -207 
10:15:32, -80, -188, 5916, -435, 487, -431 
10:15:32, -300, 36, 5808, -364, 534, -564 
10:15:32, -476, 88, 5776, -283, 556, -578 
10:15:32, -860, 36, 5796, -291, 461, -569 
10:15:32, -1076, 0, 5872, -185, 266, -454 
10:15:32, -940, 116, 6040, -61, 102, -349 
10:15:32, -816, 72, 6188, 12, -36, -413 
10:15:32, -772, 36, 6316, 80, -140, -542 
10:15:32, -940, 124, 6336, 127, -125, -652 
10:15:32, -1160, 176, 6400, 181, -95, -651 
10:15:32, -1408, 232, 6308, 159, -133, -582 
10:15:32, -1496, 320, 6452, 161, -179, -489 
10:15:32, -1376, 296, 6840, 128, -214, -418 
10:15:32, -1372, 348, 6968, 158, -373, -294 
10:15:32, -1188, 304, 6968, 232, -598, -242 
10:15:32, -1052, 476, 7072, 293, -723, -263 
10:15:32, -1084, 540, 7124, 403, -777, -437 
10:15:32, -1120, 552, 7136, 484, -803, -641 
10:15:32, -1344, 344, 7212, 483, -769, -742 
10:15:32, -1436, 124, 7176, 436, -725, -853 
10:15:32, -1504, 48, 7276, 367, -738, -908 
10:15:32, -1384, 56, 7360, 307, -711, -1070 
10:15:32, -1276, -12, 7472, 281, -770, -1181 
10:15:32, -1208, 36, 7436, 338, -715, -1186 
10:15:32, -1204, 36, 7480, 431, -631, -1163 
10:15:32, -1128, 48, 7516, 550, -562, -1107 
10:15:32, -1220, -56, 7532, 712, -461, -1031 
10:15:32, -1392, -144, 7456, 871, -429, -988 
10:15:32, -1200, -256, 7392, 1106, -329, -1027 
10:15:32, -1244, -288, 7268, 1321, -173, -1104 
10:15:32, -1500, -272, 7288, 1531, 9, -1267 
10:15:32, -1748, -76, 7340, 1681, 178, -1356 
10:15:32, -1832, 72, 7604, 1750, 329, -1441 
10:15:32, -1832, 96, 7704, 1795, 468, -1443 
10:15:32, -1848, -48, 7652, 1747, 435, -1295 
10:15:32, -1716, -208, 7492, 1707, 442, -1107 
10:15:32, -1748, -156, 7344, 1716, 496, -978 
10:15:32, -1956, -56, 7112, 1799, 532, -971 
10:15:32, -2192, 180, 6996, 1880, 566, -1007 
10:15:32, -2228, 480, 7044, 1893, 618, -1050 
10:15:32, -2136, 688, 7224, 1885, 635, -1153 
10:15:32, -2112, 540, 7284, 1752, 597, -1106 
10:15:32, -2120, 444, 7224, 1493, 465, -902 
10:15:33, -2164, 768, 7372, 1098, 175, -737 
10:15:33, -2540, 1748, 7704, 380, -344, -706 
10:15:33, -2824, 2324, 7640, -348, -990, -817 
10:15:33, -1944, 780, 6132, -347, -1244, -955 
10:15:33, -468, -380, 6864, 37, -810, -855 
10:15:33, 3644, -7232, 8584, 1454, 860, -653 
10:15:33, -3244, 2060, 8592, 987, 359, -336 
10:15:33, -1036, 828, 7176, 794, 237, -38 
10:15:33, -620, 404, 7912, 623, 37, 139 
10:15:33, -776, 256, 7820, 476, -154, 208 
10:15:33, -728, 220, 8004, 343, -309, 90 
10:15:33, -640, 100, 7908, 317, -457, -50 
10:15:33, -548, 64, 7824, 310, -538, -121 
10:15:33, -548, 84, 7860, 201, -633, -131 
10:15:33, -552, -60, 8092, -83, -715, 30 
10:15:33, -400, -364, 8356, -446, -891, 215 
10:15:33, -156, -504, 8744, -874, -1212, 393 
10:15:33, 288, -576, 9088, -1232, -1514, 442 
10:15:33, 792, -620, 9200, -1487, -1788, 375 
10:15:33, 1112, -524, 8820, -1552, -1889, 262 
10:15:33, 1424, -516, 8352, -1436, -1733, 173 
10:15:33, 1268, -420, 7960, -1289, -1440, 217 
10:15:33, 1408, -328, 7512, -1085, -859, 400 
10:15:33, 1180, -100, 7204, -881, -162, 670 
10:15:33, 956, -116, 7288, -610, 386, 871 
10:15:33, -256, -340, 7048, -146, 722, 819 
10:15:33, 52, 620, 6908, 62, 1052, 760 
10:15:33, -324, 432, 7212, 320, 1309, 720 
10:15:33, 72, 404, 7144, 631, 1601, 835 
10:15:33, -216, 472, 7504, 866, 1764, 1005 
10:15:33, -684, 676, 7672, 933, 1735, 1168 
10:15:33, -536, 540, 7780, 930, 1701, 1155 
10:15:33, -388, 376, 7680, 932, 1713, 1009 
10:15:33, -312, 312, 7852, 940, 1716, 762 
10:15:33, -208, 408, 7648, 994, 1817, 405 
10:15:33, 364, 192, 7488, 1160, 1972, 85 
10:15:33, -364, 472, 7628, 1183, 1895, -68 
10:15:33, -340, 812, 7588, 1153, 1831, -60 
10:15:33, -372, 852, 7560, 1180, 1740, 117 
10:15:33, -420, 900, 7588, 1082, 1649, 408 
10:15:33, -420, 976, 7728, 1066, 1520, 720 
10:15:33, -328, 1004, 7908, 971, 1409, 1014 
10:15:33, -284, 968, 8052, 846, 1260, 1258 
10:15:33, -284, 812, 8212, 696, 1174, 1499 
10:15:33, -172, 732, 8196, 552, 1153, 1636 
10:15:33, -180, 700, 8076, 428, 1224, 1716 
10:15:33, -176, 612, 8024, 364, 1305, 1700 
10:15:33, -116, 696, 7932, 351, 1428, 1634 
10:15:33, -128, 676, 7920, 322, 1536, 1634 
10:15:33, -92, 696, 8136, 213, 1616, 1636 
10:15:33, -152, 612, 8260, 128, 1703, 1662 
10:15:33, -196, 428, 8472, 34, 1751, 1666 
10:15:33, -304, 404, 8660, -128, 1665, 1665 
10:15:33, -344, 540, 8912, -237, 1547, 1628 
10:15:33, -440, 548, 8896, -308, 1429, 1529 
10:15:33, -540, 436, 8712, -256, 1279, 1492 
10:15:33, -620, 556, 8588, -211, 1179, 1463 
10:15:33, -716, 572, 8512, -150, 1097, 1440 
10:15:33, -816, 560, 8512, -56, 1066, 1422 
10:15:33, -944, 492, 8532, -81, 1032, 1430 
10:15:33, -1036, 416, 8504, -124, 992, 1442 
10:15:33, -1088, 236, 8328, -188, 971, 1498 
10:15:33, -1156, 216, 8232, -201, 934, 1444 
10:15:33, -1260, 208, 8120, -137, 847, 1307 
10:15:33, -1252, 360, 8048, 40, 765, 1115 
10:15:33, -1156, 504, 8356, 184, 639, 1011 
10:15:33, -1124, 636, 8564, 315, 518, 1052 
10:15:33, -1008, 660, 8680, 402, 334, 1168 
10:15:33, -968, 664, 8484, 500, 206, 1374 
10:15:33, -908, 724, 8508, 572, 39, 1532 
10:15:33, -896, 852, 8580, 608, -76, 1639 
10:15:33, -876, 820, 8704, 667, -180, 1676 
10:15:33, -772, 844, 8740, 585, -228, 1701 
10:15:33, -804, 684, 8752, 486, -277, 1666 
10:15:33, -848, 652, 8548, 417, -244, 1542 
10:15:33, -892, 640, 8488, 384, -183, 1368 
10:15:33, -916, 780, 8476, 362, -146, 1207 
10:15:33, -896, 880, 8420, 428, -57, 990 
10:15:33, -852, 1124, 8624, 496, 11, 935 
10:15:33, -984, 1276, 8776, 522, 71, 958 
10:15:33, -1016, 1356, 8984, 476, 132, 1061 
10:15:33, -956, 1396, 9100, 342, 215, 1149 
10:15:33, -1096, 1284, 9264, 190, 296, 1247 
10:15:33, -1044, 1208, 9072, 56, 395, 1198 
10:15:33, -1064, 1100, 8808, -121, 463, 1211 
10:15:33, -1064, 1040, 8716, -221, 554, 1213 
10:15:33, -1008, 920, 8664, -278, 531, 1221 
10:15:33, -992, 928, 8552, -252, 477, 1262 
10:15:33, -1000, 1036, 8520, -181, 450, 1298 
10:15:33, -992, 1064, 8580, -86, 346, 1353 
10:15:33, -996, 1092, 8828, -12, 277, 1450 
10:15:33, -1164, 1008, 8780, 27, 219, 1629 
10:15:33, -1236, 860, 8708, -14, 123, 1707 
10:15:33, -1304, 612, 8664, -54, 101, 1736 
10:15:33, -1292, 204, 8472, -106, 102, 1766 
10:15:33, -1412, 220, 8636, -141, 75, 1665 
10:15:33, -1396, 320, 8860, -157, -16, 1454 
10:15:33, -1276, 408, 8988, -142, -98, 1183 
10:15:33, -1108, 468, 9040, -165, -213, 1018 
10:15:33, -1092, 548, 9008, -176, -322, 1027 
10:15:33, -936, 736, 8916, -229, -431, 1158 
10:15:33, -900, 924, 8820, -245, -500, 1406 
10:15:33, -852, 1004, 8816, -255, -600, 1719 
10:15:33, -900, 928, 8796, -349, -706, 2069 
10:15:34, -968, 764, 8728, -429, -878, 2290 
10:15:34, -788, 660, 8764, -458, -1089, 2338 
10:15:34, -608, 600, 8756, -529, -1282, 2229 
10:15:34, -640, 608, 8804, -548, -1516, 1976 
10:15:34, -528, 592, 8864, -557, -1682, 1632 
10:15:34, -488, 728, 8884, -607, -1779, 1357 
10:15:34, -408, 868, 8708, -683, -1848, 1142 
10:15:34, -360, 1024, 8576, -818, -1845, 1033 
10:15:34, -324, 1040, 8484, -943, -1851, 1122 
10:15:34, -404, 1064, 8368, -1127, -1836, 1319 
10:15:34, -288, 860, 8220, -1249, -1770, 1386 
10:15:34, -212, 696, 8324, -1290, -1770, 1481 
10:15:34, -120, 580, 8236, -1323, -1719, 1527 
10:15:34, -116, 520, 8236, -1290, -1689, 1576 
10:15:34, -4, 600, 8260, -1282, -1607, 1565 
10:15:34, -60, 664, 8284, -1236, -1543, 1605 
10:15:34, -44, 840, 8340, -1298, -1472, 1749 
10:15:34, -48, 904, 8440, -1355, -1386, 1991 
10:15:34, -124, 888, 8444, -1448, -1237, 2182 
10:15:34, -176, 696, 8440, -1500, -1055, 2278 
10:15:34, -60, 572, 8408, -1496, -901, 2224 
10:15:34, 92, 464, 8444, -1446, -662, 1958 
10:15:34, 148, 440, 8384, -1333, -419, 1608 
10:15:34, 72, 488, 8592, -1212, -195, 1406 
10:15:34, 168, 620, 8584, -1151, -13, 1359 
10:15:34, 112, 660, 8640, -1159, 139, 1486 
10:15:34, 60, 768, 8656, -1166, 225, 1641 
10:15:34, 60, 640, 8744, -1237, 297, 1844 
10:15:34, -4, 504, 8720, -1244, 303, 2015 
10:15:34, 104, 312, 8744, -1220, 305, 2144 
10:15:34, 232, 112, 8636, -1098, 298, 2127 
